35180801,2192,390,1275,515,394,1279,519
35190780,3882,745,2760,365,749,2764,369
35290263,863,155,575,145,151,571,141
35310157,552,75,320,145,79,324,149
"Chippewas of Rama First Nation, Indian reserve (IRI)",998,170,700,140,166,696,136
35560318,412,30,195,175,34,199,179
12090879,643,90,475,90,86,471,86
12100084,457,55,300,90,59,304,94
12110069,382,50,245,75,54,249,79
47060411,498,115,345,50,111,341,46
48062615,2268,620,1440,220,616,1436,216
48070161,498,80,315,115,76,311,111
48112456,157,20,85,40,24,89,44
48110853,257,25,195,25,29,199,29
48150153,702,90,425,175,94,429,179
24230246,1272,125,820,315,129,824,319
24530113,573,95,365,125,91,361,121
24710197,548,100,330,130,96,326,126
